USER_ID;LAST_NAME;START_WORK;END_WORK
1;Ivanov;8;19
2;Petrov;1;10
3;Sazonov;21;21
4;Molchanova;9;23
5;Noskov;20;1
6;Filippova;14;7
7;Kostin;14;7
8;Belozerova;18;16
9;University;21;3
10;Blinova;4;12
11;Mikhasev;11;11
12;Matveeva;4;3
13;Kiselev;1;15
14;Drozdova;4;5
15;Kosheleva;13;15
16;Anisimova;4;22
17;Bykova;7;7
18;Gorshkova;23;7
19;Mikhailov;6;20
20;Simonov;5;21
21;Nikitina;16;14
22;Evseeva;20;4
23;Davydov;13;8
24;Popov;18;0
25;Nekrasova;17;15
26;Subbotina;1;17
27;Veselova;4;22
28;Golubeva;2;22
29;Frolov;10;2
30;Agafonov;12;7
31;Bykov;17;23
32;Odintsov;15;15
33;BELYAEV;17;5
34;Golubev;7;13
35;Seliverstov;20;9
36;Gushchina;7;15
37;Ignatyev;6;7
38;Gavrilova;22;7
39;Kislakov;3;7
40;Savin;18;16
41;SAVELIEVA;3;23
42;Mamontov;18;16
43;Samsonova;22;19
44;Zinoviev;14;5
45;GORBACHEVA;9;19
46;Panfilov;22;8
47;Rollers;7;22
48;Lebedev;16;17
49;BELOZEROV;17;20
50;Shashkov;5;19
51;Lavrentieva;20;13
52;Kozlova;23;4
53;Makarova;5;10
54;Kapustin;0;4
55;Markov;6;16
56;Blokhin;20;14
57;Drozdov;17;14
58;Kornilov;0;16
59;Karpov;12;7
60;Lapina;8;22
61;Frolova;19;21
62;Bespalova;4;10
63;Teterin;5;18
64;Gerasimova;17;23
65;Kulagin;17;9
66;Larionov;3;0
67;Sitnikova;23;8
68;Rybakova;6;1
69;GALKINA;18;1
70;Pugasheva;4;20
71;Litvinova;10;6
72;Komarova;15;7
73;Fadeeva;8;23
74;Safonova;12;23
75;Mironov;23;13
76;Orehov;10;18
77;Vasilyev;16;3
78;Denisov;5;2
79;GALKIN;13;21
80;Myasnikova;18;0
81;Pakhomova;16;14
82;Nikitin;3;22
83;Ignatova;17;4
84;Yudakov;8;13
85;Komissarov;12;8
86;Turova;21;19
87;Uvarova;13;14
88;Gordeev;6;21
89;Dmitriev;23;9
90;Zakharov;4;9
91;Subbotin;4;5
92;Kharitonova;23;5
93;Sukhanov;17;18
94;Martynov;5;9
95;Egorov;0;8
96;Arkhipova;23;14
97;Kovalev;15;0
98;Kapustina;20;14
99;Karpova;13;21
100;Isakova;2;12
101;Dementieva;20;11
102;Seleznev;12;6
103;Shiryaeva;17;3
104;Sorokin;3;8
105;Odintsova;1;19
106;Selezneva;3;21
107;Matveev;8;9
108;Zueva;10;1
109;Makarov;10;15
110;Melnikova;14;20
111;Krylova;6;22
112;Mishin;17;4
113;Burov;6;4
114;Ustinova;9;11
115;Emelyanova;6;5
116;Belova;15;6
117;Zimin;17;21
118;Lebedeva;18;18
119;Karpovka;7;5
120;Babich;3;6
121;Kostina;19;20
122;Prokhorov;11;8
123;Potapova;20;4
124;Doronina;3;20
125;Pavlov;22;6
126;Fedorov;14;9
127;Belov;3;17
128;Agafonova;6;13
129;Shiryaev;10;19
130;Mikheyeva;9;10
131;Solovyev;23;2
132;Pestova;12;9
133;Kulikov;5;5
134;Zaytsev;7;18
135;Zakharova;20;13
136;Kuznetsova;20;21
137;Sorokina;17;0
138;Loginova;11;14
139;Emelyanov;2;20
140;Vasilyeva;2;6
141;Samsonov;7;23
142;Khokhlov;12;12
143;Grishin;2;18
144;Kuznetsov;23;18
145;Gulyaev;15;15
146;Aksenov;10;7
147;Larionova;2;6
148;Ignatyeva;11;11
149;Zinovieva;1;11
150;Yakovleva;5;7
151;Lobanov;2;1
152;Vorontsov;17;19
153;Sokolov;6;3
154;GAVRILOV;9;5
155;Yakushev;18;19
156;Samoylova;17;23
157;Vishnyakov;3;10
158;Lytkin;0;1
159;Nekrasov;0;21
160;Nikonova;17;6
161;Davydova;11;19
162;Semenova;2;18
163;Dyachkova;21;20
164;Titova;20;14
165;Savina;10;3
166;Kononova;17;10
167;Stepanov;6;17
168;Likhacheva;14;6
169;Popova;20;19
170;Blinov;19;15
171;Tsvetkov;20;4
172;Andreev;11;6
173;Lavrentiev;11;20
174;Horns;2;2
175;Mikhailova;3;10
176;Gordeeva;18;17
177;Bolshakova;17;23
178;Bogdanova;2;4
179;Nesterova;1;2
180;Kotova;2;5
181;Fedotova;5;15
182;Abramova;12;5
183;Kudryashov;3;18
184;Borisova;16;13
185;Strelkova;4;8
